Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1990-03-26,8.75,8.75,8.5,8.5,3200.0,0.0,1.0,0.546875,0.546875,0.53125,0.53125,51200.0
1990-03-27,8.5,8.62,8.38,8.62,33300.0,0.0,1.0,0.53125,0.53875,0.52375,0.53875,532800.0
1990-03-28,8.5,8.75,8.5,8.75,4100.0,0.0,1.0,0.53125,0.546875,0.53125,0.546875,65600.0
1990-03-29,8.5,8.75,8.5,8.62,14200.0,0.0,1.0,0.53125,0.546875,0.53125,0.53875,227200.0
1990-03-30,8.5,8.75,8.5,8.5,34700.0,0.0,1.0,0.53125,0.546875,0.53125,0.53125,555200.0
1990-04-02,8.75,8.75,8.62,8.62,5400.0,0.0,1.0,0.546875,0.546875,0.53875,0.53875,86400.0
1990-04-03,8.75,9.38,8.75,9.12,70300.0,0.0,1.0,0.546875,0.58625,0.546875,0.57,1124800.0
1990-04-04,9.38,9.38,9.0,9.12,192600.0,0.0,1.0,0.58625,0.58625,0.5625,0.57,3081600.0
1990-04-05,9.25,9.5,9.0,9.25,31300.0,0.0,1.0,0.578125,0.59375,0.5625,0.578125,500800.0
1990-04-06,10.0,11.88,10.0,11.88,627500.0,0.0,1.0,0.625,0.7425,0.625,0.7425,10040000.0
1990-04-09,11.88,11.88,11.0,11.25,333900.0,0.0,1.0,0.7425,0.7425,0.6875,0.703125,5342400.0
1990-04-10,11.25,11.25,10.88,11.0,188000.0,0.0,1.0,0.703125,0.703125,0.68,0.6875,3008000.0
1990-04-11,11.12,11.12,10.75,10.75,32100.0,0.0,1.0,0.695,0.695,0.671875,0.671875,513600.0
1990-04-12,10.62,10.88,10.5,10.75,145900.0,0.0,1.0,0.66375,0.68,0.65625,0.671875,2334400.0
1990-04-16,10.75,11.75,10.75,11.62,246600.0,0.0,1.0,0.671875,0.734375,0.671875,0.72625,3945600.0
1990-04-17,11.62,11.75,11.25,11.5,241100.0,0.0,1.0,0.72625,0.734375,0.703125,0.71875,3857600.0
1990-04-18,11.75,12.0,11.5,11.88,63500.0,0.0,1.0,0.734375,0.75,0.71875,0.7425,1016000.0
1990-04-19,11.75,13.0,11.75,13.0,204600.0,0.0,1.0,0.734375,0.8125,0.734375,0.8125,3273600.0
1990-04-20,13.0,13.12,12.38,12.5,163900.0,0.0,1.0,0.8125,0.82,0.77375,0.78125,2622400.0
1990-04-23,12.75,12.75,12.25,12.38,218200.0,0.0,1.0,0.796875,0.796875,0.765625,0.77375,3491200.0
1990-04-24,12.62,12.88,12.38,12.62,116100.0,0.0,1.0,0.78875,0.805,0.77375,0.78875,1857600.0
1990-04-25,12.88,13.0,12.62,12.75,140400.0,0.0,1.0,0.805,0.8125,0.78875,0.796875,2246400.0
1990-04-26,13.0,13.5,13.0,13.25,66200.0,0.0,1.0,0.8125,0.84375,0.8125,0.828125,1059200.0
1990-04-27,13.5,13.5,13.12,13.12,124000.0,0.0,1.0,0.84375,0.84375,0.82,0.82,1984000.0
1990-04-30,13.38,14.38,13.12,14.25,195900.0,0.0,1.0,0.83625,0.89875,0.82,0.890625,3134400.0
1990-05-01,14.5,14.62,14.25,14.25,53000.0,0.0,1.0,0.90625,0.91375,0.890625,0.890625,848000.0
1990-05-02,14.5,14.5,14.0,14.0,118100.0,0.0,1.0,0.90625,0.90625,0.875,0.875,1889600.0
1990-05-03,14.38,14.5,14.12,14.12,27600.0,0.0,1.0,0.89875,0.90625,0.8825,0.8825,441600.0
1990-05-04,14.25,14.38,14.0,14.12,46300.0,0.0,1.0,0.890625,0.89875,0.875,0.8825,740800.0
1990-05-07,14.12,14.62,14.12,14.25,68500.0,0.0,1.0,0.8825,0.91375,0.8825,0.890625,1096000.0
1990-05-08,14.62,15.38,14.38,15.38,177800.0,0.0,1.0,0.91375,0.96125,0.89875,0.96125,2844800.0
1990-05-09,15.25,15.38,15.12,15.25,218600.0,0.0,1.0,0.953125,0.96125,0.945,0.953125,3497600.0
1990-05-10,15.12,15.38,15.0,15.12,206900.0,0.0,1.0,0.945,0.96125,0.9375,0.945,3310400.0
1990-05-11,15.12,15.25,14.88,15.12,196600.0,0.0,1.0,0.945,0.953125,0.93,0.945,3145600.0
1990-05-14,15.38,15.62,15.25,15.62,303300.0,0.0,1.0,0.96125,0.97625,0.953125,0.97625,4852800.0
1990-05-15,15.5,15.62,15.25,15.25,130800.0,0.0,1.0,0.96875,0.97625,0.953125,0.953125,2092800.0
1990-05-16,15.25,15.5,15.25,15.38,18900.0,0.0,1.0,0.953125,0.96875,0.953125,0.96125,302400.0
1990-05-17,15.38,15.5,15.25,15.5,77000.0,0.0,1.0,0.96125,0.96875,0.953125,0.96875,1232000.0
1990-05-18,15.38,15.5,15.25,15.25,185100.0,0.0,1.0,0.96125,0.96875,0.953125,0.953125,2961600.0
1990-05-21,15.25,15.5,14.88,15.0,128500.0,0.0,1.0,0.953125,0.96875,0.93,0.9375,2056000.0
1990-05-22,14.88,15.12,14.88,15.12,62800.0,0.0,1.0,0.93,0.945,0.93,0.945,1004800.0
1990-05-23,14.88,15.25,14.88,15.25,205300.0,0.0,1.0,0.93,0.953125,0.93,0.953125,3284800.0
1990-05-24,15.25,15.88,15.0,15.88,289500.0,0.0,1.0,0.953125,0.9925,0.9375,0.9925,4632000.0
1990-05-25,15.62,16.62,15.62,16.5,188700.0,0.0,1.0,0.97625,1.03875,0.97625,1.03125,3019200.0
1990-05-29,16.5,16.62,16.25,16.38,77900.0,0.0,1.0,1.03125,1.03875,1.015625,1.02375,1246400.0
1990-05-30,16.5,16.88,16.5,16.5,169800.0,0.0,1.0,1.03125,1.055,1.03125,1.03125,2716800.0
1990-05-31,16.75,16.75,16.5,16.62,105700.0,0.0,1.0,1.046875,1.046875,1.03125,1.03875,1691200.0
1990-06-01,16.62,16.62,16.0,16.25,71000.0,0.0,1.0,1.03875,1.03875,1.0,1.015625,1136000.0
1990-06-04,16.38,16.38,16.0,16.12,16100.0,0.0,1.0,1.02375,1.02375,1.0,1.0075,257600.0
1990-06-05,16.12,16.38,15.25,15.25,55000.0,0.0,1.0,1.0075,1.02375,0.953125,0.953125,880000.0
1990-06-06,15.25,15.25,14.5,14.5,98600.0,0.0,1.0,0.953125,0.953125,0.90625,0.90625,1577600.0
1990-06-07,14.5,14.88,13.62,13.88,120100.0,0.0,1.0,0.90625,0.93,0.85125,0.8675,1921600.0
1990-06-08,13.62,13.88,13.12,13.38,63700.0,0.0,1.0,0.85125,0.8675,0.82,0.83625,1019200.0
1990-06-11,13.5,14.75,13.5,14.62,173300.0,0.0,1.0,0.84375,0.921875,0.84375,0.91375,2772800.0
1990-06-12,14.62,15.62,14.5,15.5,339000.0,0.0,1.0,0.91375,0.97625,0.90625,0.96875,5424000.0
1990-06-13,15.75,15.88,15.25,15.38,120100.0,0.0,1.0,0.984375,0.9925,0.953125,0.96125,1921600.0
1990-06-14,15.62,15.62,15.12,15.38,58800.0,0.0,1.0,0.97625,0.97625,0.945,0.96125,940800.0
1990-06-15,15.38,15.38,15.12,15.12,21500.0,0.0,1.0,0.96125,0.96125,0.945,0.945,344000.0
1990-06-18,15.25,15.38,14.25,14.5,85800.0,0.0,1.0,0.953125,0.96125,0.890625,0.90625,1372800.0
1990-06-19,14.25,14.5,14.25,14.5,22600.0,0.0,1.0,0.890625,0.90625,0.890625,0.90625,361600.0
1990-06-20,14.12,14.88,14.12,14.75,41100.0,0.0,1.0,0.8825,0.93,0.8825,0.921875,657600.0
1990-06-21,14.88,14.88,14.38,14.5,82500.0,0.0,1.0,0.93,0.93,0.89875,0.90625,1320000.0
1990-06-22,14.62,15.38,14.62,15.0,147400.0,0.0,1.0,0.91375,0.96125,0.91375,0.9375,2358400.0
1990-06-25,15.0,15.0,14.38,14.75,37700.0,0.0,1.0,0.9375,0.9375,0.89875,0.921875,603200.0
1990-06-26,14.75,15.12,14.75,15.0,78200.0,0.0,1.0,0.921875,0.945,0.921875,0.9375,1251200.0
1990-06-27,15.0,15.12,14.75,15.0,41100.0,0.0,1.0,0.9375,0.945,0.921875,0.9375,657600.0
1990-06-28,15.25,15.88,15.12,15.25,120600.0,0.0,1.0,0.953125,0.9925,0.945,0.953125,1929600.0
1990-06-29,15.5,16.75,15.5,16.75,300100.0,0.0,1.0,0.96875,1.046875,0.96875,1.046875,4801600.0
1990-07-02,16.75,16.75,16.38,16.38,53700.0,0.0,1.0,1.046875,1.046875,1.02375,1.02375,859200.0
1990-07-03,16.38,16.5,16.38,16.5,8300.0,0.0,1.0,1.02375,1.03125,1.02375,1.03125,132800.0
1990-07-05,16.38,16.5,16.12,16.12,50100.0,0.0,1.0,1.02375,1.03125,1.0075,1.0075,801600.0
1990-07-06,16.12,16.12,15.62,15.88,42000.0,0.0,1.0,1.0075,1.0075,0.97625,0.9925,672000.0
1990-07-09,15.88,15.88,15.12,15.12,20800.0,0.0,1.0,0.9925,0.9925,0.945,0.945,332800.0
1990-07-10,15.0,15.25,14.5,15.0,194600.0,0.0,1.0,0.9375,0.953125,0.90625,0.9375,3113600.0
1990-07-11,14.62,15.38,14.62,15.12,98900.0,0.0,1.0,0.91375,0.96125,0.91375,0.945,1582400.0
1990-07-12,15.38,16.62,15.12,16.5,171000.0,0.0,1.0,0.96125,1.03875,0.945,1.03125,2736000.0
1990-07-13,16.62,16.62,16.38,16.5,115700.0,0.0,1.0,1.03875,1.03875,1.02375,1.03125,1851200.0
1990-07-16,16.5,16.62,16.25,16.5,119100.0,0.0,1.0,1.03125,1.03875,1.015625,1.03125,1905600.0
1990-07-17,16.25,16.5,15.38,15.5,105100.0,0.0,1.0,1.015625,1.03125,0.96125,0.96875,1681600.0
1990-07-18,15.12,15.38,14.25,14.5,140300.0,0.0,1.0,0.945,0.96125,0.890625,0.90625,2244800.0
1990-07-19,14.38,14.62,14.12,14.25,35000.0,0.0,1.0,0.89875,0.91375,0.8825,0.890625,560000.0
1990-07-20,14.25,14.25,13.62,14.0,72300.0,0.0,1.0,0.890625,0.890625,0.85125,0.875,1156800.0
1990-07-23,13.62,13.88,11.62,12.75,184100.0,0.0,1.0,0.85125,0.8675,0.72625,0.796875,2945600.0
1990-07-24,12.88,14.0,12.25,13.75,175500.0,0.0,1.0,0.805,0.875,0.765625,0.859375,2808000.0
1990-07-25,14.12,14.38,13.88,14.38,127300.0,0.0,1.0,0.8825,0.89875,0.8675,0.89875,2036800.0
1990-07-26,14.25,14.38,14.0,14.25,42100.0,0.0,1.0,0.890625,0.89875,0.875,0.890625,673600.0
1990-07-27,14.25,14.25,13.0,13.25,119900.0,0.0,1.0,0.890625,0.890625,0.8125,0.828125,1918400.0
1990-07-30,12.88,13.12,12.5,12.88,38000.0,0.0,1.0,0.805,0.82,0.78125,0.805,608000.0
1990-07-31,12.88,12.88,12.38,12.38,24100.0,0.0,1.0,0.805,0.805,0.77375,0.77375,385600.0
1990-08-01,12.38,13.12,12.38,12.88,136700.0,0.0,1.0,0.77375,0.82,0.77375,0.805,2187200.0
1990-08-02,12.5,13.0,12.5,13.0,56700.0,0.0,1.0,0.78125,0.8125,0.78125,0.8125,907200.0
1990-08-03,13.0,13.0,12.62,13.0,119000.0,0.0,1.0,0.8125,0.8125,0.78875,0.8125,1904000.0
1990-08-06,12.5,12.5,11.75,12.0,90500.0,0.0,1.0,0.78125,0.78125,0.734375,0.75,1448000.0
1990-08-07,12.12,12.62,12.12,12.25,75900.0,0.0,1.0,0.7575,0.78875,0.7575,0.765625,1214400.0
1990-08-08,12.62,13.12,12.62,12.75,75000.0,0.0,1.0,0.78875,0.82,0.78875,0.796875,1200000.0
1990-08-09,12.88,12.88,12.62,12.62,63700.0,0.0,1.0,0.805,0.805,0.78875,0.78875,1019200.0
1990-08-10,12.5,12.75,12.25,12.25,25400.0,0.0,1.0,0.78125,0.796875,0.765625,0.765625,406400.0
1990-08-13,12.38,12.75,12.12,12.75,46700.0,0.0,1.0,0.77375,0.796875,0.7575,0.796875,747200.0
1990-08-14,12.75,12.75,12.5,12.75,18700.0,0.0,1.0,0.796875,0.796875,0.78125,0.796875,299200.0
1990-08-15,12.75,12.75,12.25,12.25,41700.0,0.0,1.0,0.796875,0.796875,0.765625,0.765625,667200.0
1990-08-16,12.25,12.25,11.25,11.38,92100.0,0.0,1.0,0.765625,0.765625,0.703125,0.71125,1473600.0
1990-08-17,11.0,11.38,10.62,10.62,71600.0,0.0,1.0,0.6875,0.71125,0.66375,0.66375,1145600.0
1990-08-20,10.62,10.88,10.25,10.38,35100.0,0.0,1.0,0.66375,0.68,0.640625,0.64875,561600.0
1990-08-21,10.38,10.38,9.38,9.88,76100.0,0.0,1.0,0.64875,0.64875,0.58625,0.6175,1217600.0
1990-08-22,10.12,10.5,10.0,10.38,54500.0,0.0,1.0,0.6325,0.65625,0.625,0.64875,872000.0
1990-08-23,10.0,10.25,9.88,10.12,51000.0,0.0,1.0,0.625,0.640625,0.6175,0.6325,816000.0
1990-08-24,10.25,10.38,10.0,10.38,32000.0,0.0,1.0,0.640625,0.64875,0.625,0.64875,512000.0
1990-08-27,10.5,11.12,10.38,11.12,80200.0,0.0,1.0,0.65625,0.695,0.64875,0.695,1283200.0
1990-08-28,10.88,12.0,10.88,11.88,89700.0,0.0,1.0,0.68,0.75,0.68,0.7425,1435200.0
1990-08-29,11.75,12.0,11.5,12.0,48000.0,0.0,1.0,0.734375,0.75,0.71875,0.75,768000.0
1990-08-30,11.75,12.0,11.75,12.0,36100.0,0.0,1.0,0.734375,0.75,0.734375,0.75,577600.0
1990-08-31,11.75,12.38,11.75,12.38,14200.0,0.0,1.0,0.734375,0.77375,0.734375,0.77375,227200.0
1990-09-04,12.12,12.12,11.62,11.75,129700.0,0.0,1.0,0.7575,0.7575,0.72625,0.734375,2075200.0
1990-09-05,11.75,11.75,11.38,11.5,31700.0,0.0,1.0,0.734375,0.734375,0.71125,0.71875,507200.0
1990-09-06,11.12,11.12,10.38,10.38,112800.0,0.0,1.0,0.695,0.695,0.64875,0.64875,1804800.0
1990-09-07,10.25,10.38,9.0,9.62,190500.0,0.0,1.0,0.640625,0.64875,0.5625,0.60125,3048000.0
1990-09-10,10.0,10.12,9.38,9.5,85700.0,0.0,1.0,0.625,0.6325,0.58625,0.59375,1371200.0
1990-09-11,9.5,9.5,8.5,8.88,149700.0,0.0,1.0,0.59375,0.59375,0.53125,0.555,2395200.0
1990-09-12,9.0,9.25,8.88,8.88,114300.0,0.0,1.0,0.5625,0.578125,0.555,0.555,1828800.0
1990-09-13,9.0,9.38,8.75,8.75,116400.0,0.0,1.0,0.5625,0.58625,0.546875,0.546875,1862400.0
1990-09-14,8.62,8.75,8.38,8.5,36100.0,0.0,1.0,0.53875,0.546875,0.52375,0.53125,577600.0
1990-09-17,8.62,8.62,7.75,8.0,60400.0,0.0,1.0,0.53875,0.53875,0.484375,0.5,966400.0
1990-09-18,8.0,8.25,7.75,7.88,114900.0,0.0,1.0,0.5,0.515625,0.484375,0.4925,1838400.0
1990-09-19,8.12,9.0,8.0,9.0,95200.0,0.0,1.0,0.5075,0.5625,0.5,0.5625,1523200.0
1990-09-20,8.88,8.88,8.62,8.88,20500.0,0.0,1.0,0.555,0.555,0.53875,0.555,328000.0
1990-09-21,8.62,8.75,8.38,8.5,11600.0,0.0,1.0,0.53875,0.546875,0.52375,0.53125,185600.0
1990-09-24,8.38,8.62,7.88,7.88,20400.0,0.0,1.0,0.52375,0.53875,0.4925,0.4925,326400.0
1990-09-25,8.25,8.62,8.0,8.5,92400.0,0.0,1.0,0.515625,0.53875,0.5,0.53125,1478400.0
1990-09-26,9.12,9.12,8.38,8.5,33500.0,0.0,1.0,0.57,0.57,0.52375,0.53125,536000.0
1990-09-27,8.38,8.38,7.88,8.0,84400.0,0.0,1.0,0.52375,0.52375,0.4925,0.5,1350400.0
1990-09-28,7.88,8.5,7.88,8.38,38100.0,0.0,1.0,0.4925,0.53125,0.4925,0.52375,609600.0
1990-10-01,9.12,9.38,8.62,9.0,68200.0,0.0,1.0,0.57,0.58625,0.53875,0.5625,1091200.0
1990-10-02,9.5,9.5,8.75,8.88,415900.0,0.0,1.0,0.59375,0.59375,0.546875,0.555,6654400.0
1990-10-03,8.75,8.75,8.25,8.25,33900.0,0.0,1.0,0.546875,0.546875,0.515625,0.515625,542400.0
1990-10-04,7.88,8.12,7.88,8.12,12300.0,0.0,1.0,0.4925,0.5075,0.4925,0.5075,196800.0
1990-10-05,8.0,8.38,7.88,8.25,37400.0,0.0,1.0,0.5,0.52375,0.4925,0.515625,598400.0
1990-10-08,8.25,8.25,8.12,8.12,16600.0,0.0,1.0,0.515625,0.515625,0.5075,0.5075,265600.0
1990-10-09,8.25,8.25,8.0,8.0,21500.0,0.0,1.0,0.515625,0.515625,0.5,0.5,344000.0
1990-10-10,8.12,8.12,8.0,8.0,10400.0,0.0,1.0,0.5075,0.5075,0.5,0.5,166400.0
1990-10-11,8.12,8.12,6.12,6.38,277000.0,0.0,1.0,0.5075,0.5075,0.3825,0.39875,4432000.0
1990-10-12,6.62,7.75,6.38,7.75,426600.0,0.0,1.0,0.41375,0.484375,0.39875,0.484375,6825600.0
1990-10-15,8.25,8.38,7.62,7.62,120900.0,0.0,1.0,0.515625,0.52375,0.47625,0.47625,1934400.0
1990-10-16,7.75,8.38,7.75,8.12,44200.0,0.0,1.0,0.484375,0.52375,0.484375,0.5075,707200.0
1990-10-17,8.0,8.25,8.0,8.12,15300.0,0.0,1.0,0.5,0.515625,0.5,0.5075,244800.0
1990-10-18,8.38,8.75,8.12,8.38,144800.0,0.0,1.0,0.52375,0.546875,0.5075,0.52375,2316800.0
