Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1996-04-12,25.25,43.0,24.5,33.0,17030000.0,0.0,1.0,1.0520833333333333,1.7916666666666665,1.0208333333333333,1.375,408720000.0
1996-04-15,35.75,36.0,30.0,32.25,3300800.0,0.0,1.0,1.4895833333333333,1.5,1.25,1.34375,79219200.0
1996-04-16,32.25,32.25,28.0,28.75,2000667.0,0.0,1.0,1.34375,1.34375,1.1666666666666665,1.1979166666666665,48016008.0
1996-04-17,28.25,28.25,24.75,27.0,1784000.0,0.0,1.0,1.1770833333333333,1.1770833333333333,1.03125,1.125,42816000.0
1996-04-18,30.12,30.12,28.0,29.25,1136200.0,0.0,1.0,1.255,1.255,1.1666666666666665,1.21875,27268800.0
1996-04-19,30.12,30.75,28.75,28.87,538067.0,0.0,1.0,1.255,1.28125,1.1979166666666665,1.2029166666666666,12913608.0
1996-04-22,29.0,29.0,27.5,28.25,335067.0,0.0,1.0,1.2083333333333333,1.2083333333333333,1.1458333333333333,1.1770833333333333,8041608.0
1996-04-23,28.75,29.0,28.0,28.0,179067.0,0.0,1.0,1.1979166666666665,1.2083333333333333,1.1666666666666665,1.1666666666666665,4297608.0
1996-04-24,28.5,29.12,27.75,29.0,324800.0,0.0,1.0,1.1875,1.2133333333333334,1.15625,1.2083333333333333,7795200.0
1996-04-25,30.0,32.25,29.0,31.25,811600.0,0.0,1.0,1.25,1.34375,1.2083333333333333,1.3020833333333333,19478400.0
1996-04-26,32.0,32.25,31.25,31.75,315067.0,0.0,1.0,1.3333333333333333,1.34375,1.3020833333333333,1.3229166666666665,7561608.0
1996-04-29,31.5,32.0,30.5,31.0,247000.0,0.0,1.0,1.3125,1.3333333333333333,1.2708333333333333,1.2916666666666665,5928000.0
1996-04-30,31.25,31.5,29.5,29.75,208467.0,0.0,1.0,1.3020833333333333,1.3125,1.2291666666666665,1.2395833333333333,5003208.0
1996-05-01,30.25,31.75,30.0,31.62,203400.0,0.0,1.0,1.2604166666666665,1.3229166666666665,1.25,1.3175,4881600.0
1996-05-02,31.5,33.25,31.5,32.88,405467.0,0.0,1.0,1.3125,1.3854166666666665,1.3125,1.37,9731208.0
1996-05-03,32.25,32.5,31.25,32.0,254867.0,0.0,1.0,1.34375,1.3541666666666665,1.3020833333333333,1.3333333333333333,6116808.0
1996-05-06,32.5,32.5,29.37,30.12,342267.0,0.0,1.0,1.3541666666666665,1.3541666666666665,1.22375,1.255,8214408.0
1996-05-07,30.0,30.75,29.75,30.37,232067.0,0.0,1.0,1.25,1.28125,1.2395833333333333,1.2654166666666666,5569608.0
1996-05-08,30.5,30.75,29.12,30.25,262000.0,0.0,1.0,1.2708333333333333,1.28125,1.2133333333333334,1.2604166666666665,6288000.0
1996-05-09,30.0,30.75,29.75,30.75,168000.0,0.0,1.0,1.25,1.28125,1.2395833333333333,1.28125,4032000.0
1996-05-10,30.75,31.75,30.5,31.25,244800.0,0.0,1.0,1.28125,1.3229166666666665,1.2708333333333333,1.3020833333333333,5875200.0
1996-05-13,31.37,31.5,30.0,30.25,114467.0,0.0,1.0,1.3070833333333334,1.3125,1.25,1.2604166666666665,2747208.0
1996-05-14,30.75,31.0,29.5,29.5,166800.0,0.0,1.0,1.28125,1.2916666666666665,1.2291666666666665,1.2291666666666665,4003200.0
1996-05-15,35.75,35.875,30.0,32.25,91667.0,0.0,1.0,1.4895833333333333,1.4947916666666665,1.25,1.34375,2200008.0
1996-05-16,32.25,32.25,28.0,28.75,141267.0,0.0,1.0,1.34375,1.34375,1.1666666666666665,1.1979166666666665,3390408.0
1996-05-17,28.25,28.25,24.75,27.0,102000.0,0.0,1.0,1.1770833333333333,1.1770833333333333,1.03125,1.125,2448000.0
